ID,Confidence,Explanation-List
205,0.9999996074475812,"[('resurection', -0.006472200051710165), ('loud', -0.005851569726963029), ('Peter', -0.00574254279642707), ('lightning', -0.005274106203543796), ('heaven', -0.005173514934849203), ('immediately', -0.004845364885916444)]"
165,0.9501253240501524,"[('ctron', -0.481269015764471), ('debunks', 0.033637251952634124), ('Francis', -0.029609276883943894), ('Wrong', 0.027025173447424583), ('IN', 0.023541410566586464), ('Psi', -0.022506129681015764)]"
309,0.9499227792301713,"[('Conversions', -0.07883233022063754), ('faced', -0.04471658990115232), ('fsu', -0.036978283208644734), ('Organization', -0.031535308360866696), ('interview', -0.029835764802753857), ('diminished', -0.02977219475408828)]"
548,0.947036199651961,"[('mangoe', 0.06949663293979155), ('tove', 0.06380478184120855), ('lous', 0.06047894415892509), ('marv', 0.0599581929762891), ('Wingate', 0.05953654834491873), ('sod', 0.05500503596720898)]"
234,0.9313821629681113,"[('formerly', -0.04985935987287529), ('Stanley', -0.03873797888727816), ('verify', -0.037769038536560245), ('predicts', -0.03751253453490179), ('restricted', -0.03711654196013335), ('Organization', -0.03684032154752451)]"
43,0.9289098235457477,"[('Astrophysics', -0.11287448494389989), ('wustl', -0.07002970715262663), ('Oser', -0.06490020923654931), ('oser', -0.05884014211135242), ('fermi', -0.057680369738887474), ('Host', 0.04037643153932112)]"
153,0.9097972691418985,"[('Alan', -0.09007414491987248), ('Love', -0.04654065215525083), ('voices', -0.043375062115255915), ('rock', -0.029623229118695645), ('York', -0.02901762656369574), ('fidonet', -0.027958804371591633)]"
121,0.887391893218002,"[('ocis', -0.19381845577693796), ('astro', -0.19269177434448945), ('Carl', -0.16059988521124494), ('stamp', 0.07515718170999482), ('Newsreader', 0.05522620294309419), ('Posting', 0.05293926110279487)]"
42,0.8773673612834127,"[('influenced', -0.0670106751615713), ('fill', -0.051783974666756424), ('survey', -0.044298891062453466), ('Thanks', -0.040197855444297194), ('Several', -0.03961014474232906), ('Organization', -0.038932025325995295)]"
288,0.8713297232624009,"[('ocis', -0.19777671180760523), ('astro', -0.1951904528594725), ('Carl', -0.15947011937827602), ('Newsreader', 0.060137530490226195), ('Posting', 0.05417907774794929), ('knocked', 0.050569520756245497)]"
24,0.8441536345988246,"[('Romans', -0.0548194806539596), ('hebrews', -0.04724697728933967), ('romans', -0.04540358832488174), ('conjunction', -0.04350368281419788), ('battling', -0.039878360363414474), ('spat', -0.03937649855979744)]"
158,0.7778461997537307,"[('sincere', -0.0826931038197325), ('smug', -0.08066170675404183), ('fsu', -0.05432557315033784), ('Organization', -0.04251298150615039), ('William', -0.03161201972401361), ('Morality', 0.028787114386003225)]"
1,0.7426035811563125,"[('refuses', 0.07471269155225722), ('warns', -0.0655534962131748), ('attitude', -0.06446957259813377), ('cycle', -0.06288061925443666), ('fashioned', -0.060360741360064175), ('thank', -0.05448981062003532)]"
233,0.7396072795972229,"[('uxa', -0.06481812857259817), ('Steve', -0.04944118074114582), ('Me', -0.049006873340706976), ('Organization', -0.041094710014827965), ('fsu', -0.028380068129155698), ('pepke', -0.02210506771443861)]"
110,0.7027186301486019,"[('sinners', -0.05652137176759436), ('Peter', -0.05018067317743052), ('Organization', -0.049936894049129425), ('Waco', -0.04953303218086511), ('sincere', -0.04863790795003941), ('Seems', 0.035130546883947254)]"
217,0.6920385882267268,"[('Alan', -0.14020661416431673), ('beast', -0.07884165585412474), ('cattle', -0.05318934130444002), ('Olsen', 0.04178373652176399), ('air', 0.039259533669586524), ('meet', -0.03755065555990778)]"
81,0.6797838289076836,"[('Tribulation', 0.29914375647288366), ('Antichrist', -0.2562600903174192), ('beast', -0.11973753238855597), ('YOU', 0.11813228817821661), ('Daniel', -0.10686029244550226), ('Revelation', -0.09456306866123632)]"
91,0.5959862323492402,"[('Freemasonry', -0.22011830639238603), ('Page', -0.10258374364649334), ('equality', 0.08587505012421227), ('10th', -0.08328518583884756), ('Ministry', 0.0697459760163156), ('Host', 0.06202699839559817)]"
76,0.5771005962350191,"[('indiana', -0.08398278033356384), ('Florida', -0.07332572891030868), ('Asimov', 0.07018307453792477), ('Organization', -0.05978685338495566), ('Schnitzius', -0.0567824615953936), ('stamp', 0.05314455750535165)]"
495,0.4914404707036154,"[('constructive', 0.1102867538654483), ('newton', 0.09867967616096543), ('agnostics', 0.09645611688108255), ('Tourist', 0.09604908112225027), ('cornell', -0.0869347946932217), ('lemur', -0.07738693027045)]"
265,0.4836991276904135,"[('Todd', -0.12686887865023813), ('loud', -0.12329758671705363), ('LaTech', 0.09072547118524636), ('gravity', 0.0782447269668254), ('voices', -0.07475530388883012), ('engr', 0.0517187989312467)]"
150,0.4664422642679382,"[('Supercomputer', -0.1030646308418708), ('Caused', 0.10058176736977706), ('Computations', -0.09962587172717857), ('Genocide', 0.07969307933310253), ('Organization', -0.058210882442558065), ('jews', -0.04195249653544074)]"
160,0.42278369463701543,"[('agonizing', -0.2826031764540119), ('carpenter', -0.19428560507493198), ('cbnewsj', 0.09722084799504488), ('kaflowitz', 0.09459302720140063), ('na', 0.06318300832208756), ('Gotta', 0.05226609373711773)]"
271,0.4094585483677035,"[('Path', -0.22087200532127835), ('output', 0.1728962046940998), ('feedback', -0.13529425720473195), ('Julian', -0.13305968063414103), ('UNLIKE', 0.11104021421108917), ('fly', 0.10034398555712819)]"
178,0.4032878452024258,"[('Organization', -0.07532944695290525), ('survey', -0.07287070819929885), ('research', -0.06794693511360078), ('PL9', 0.06662178003898542), ('Newsreader', 0.06612832198494557), ('TIN', 0.0506371675212679)]"
41,0.4025726955865152,"[('sincere', -0.12340542474419526), ('refuses', 0.08744027327886357), ('realised', 0.0860203694318318), ('omnipresent', -0.08233677776579514), ('disguise', -0.07956882252166438), ('Newsreader', 0.0699884335992369)]"
249,0.3978026463431454,"[('Rabbi', -0.1274411554898867), ('scriptures', -0.11861378389695473), ('Host', 0.0747519534479012), ('Posting', 0.07163646145871305), ('Nntp', 0.060884469286018504), ('Organization', -0.060630295632362954)]"
259,0.31586735297117996,"[('Return', -0.2506987396956963), ('Asimov', 0.15129172688502562), ('Conversions', -0.14005624038363795), ('Carl', -0.103004320529988), ('Host', 0.08876267994065737), ('Posting', 0.0883076102738696)]"
73,0.3136853060298885,"[('Carl', -0.2793293726365246), ('Scouts', 0.164537657789914), ('Boy', 0.15044928006859562), ('Organization', -0.10270675974664757), ('Comp', -0.07851328921318175), ('Scout', 0.07093953325693321)]"
14,0.3027516297151729,"[('Alan', -0.16838097992639361), ('creationists', 0.12349105803186551), ('Olsen', 0.055960819864848986), ('Organization', -0.054754849164632746), ('highest', -0.04940846668214601), ('Bill', 0.04332180494561348)]"
704,0.30197116157726694,"[('Russell', 0.08453080526999718), ('Bertrand', 0.06958952092676395), ('Organization', -0.052908837064183846), ('NAME', 0.038807734025118015), ('request', 0.038544016790835085), ('Adelaide', 0.03229145214992732)]"
258,0.28931501906761176,"[('astro', -0.1894532686114964), ('ocis', -0.18465072825675252), ('Carl', -0.1186739090856918), ('Newsreader', 0.10872093179552454), ('Host', 0.10285160448758217), ('Posting', 0.10179060901655931)]"
277,0.2848247713852341,"[('warns', -0.08299985080283671), ('Posting', 0.07033703084561313), ('Host', 0.06642628844975856), ('Organization', -0.06398198232393175), ('sincere', -0.06086093776270566), ('Yet', 0.058501948459936705)]"
67,0.26470669197529584,"[('math', -0.12600861088525214), ('particle', 0.083212893245194), ('hole', -0.0821780582038981), ('sinners', -0.061729983976965684), ('IASTATE', 0.05575558664778082), ('spacsun', 0.05177117940139925)]"
11,0.15097228669501267,"[('Newsreader', 0.09575822041081788), ('Warning', -0.09248373659280999), ('TIN', 0.07954067996681337), ('orst', -0.07254503259318282), ('ol', 0.06394607423179338), ('Organization', -0.058913245079340704)]"
275,0.04093295934525648,"[('hadith', 0.20586857207618864), ('expertise', -0.20123664269980818), ('discussion', -0.18029723413256804), ('Qur', 0.13390221915535166), ('Knowledge', -0.11666389567282262), ('Rashid', 0.11349588501486865)]"
184,0.026109137557997486,"[('Quoting', -0.19254674780554146), ('Asimov', 0.12000854716392115), ('llnl', 0.09501863961309626), ('NNTP', 0.07896112806334073), ('Posting', 0.07673150101506249), ('Davis', -0.0739428086558447)]"
